Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have medical coverage (private insurance or state-provided) which includes treatment of 聽mental health issues?,Do you know local or online resources to seek help for a mental health disorder?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
0,06岿 25老,1,,No,N/A,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,"physical health issues are easier for other people to see, depression is easy for others to dismiss",No,previous attempts haven't gone well,Maybe,Maybe,Somewhat open,N/A,,No,Yes,Maybe,No,0,Sometimes,Often,24,male,United Kingdom,,United Kingdom,
0,100-500,1,,Not eligible for coverage / N/A,N/A,Yes,No,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No,,,,,,,,,1,Some did,"Yes, I was aware of all of them",None did,Some did,"Yes, always","Yes, all of them",None of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,No,"I feel they would be likely to weigh it against me in considering me for the job, whether intentionally/consciously or not.",No,"I feel they would definitely weigh it against me in considering me for the job, whether intentionally/consciously or not.","Yes, it has",Maybe,Somewhat open,"Yes, I experienced",N/A,Yes,Yes,Yes,Yes,1,Rarely,Often,31,Nonbinary,Switzerland,,Switzerland,
0,26-100,1,,I don't know,I am not sure,No,No,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,"Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,,No,,Maybe,Maybe,Somewhat open,No,,No,Maybe,Maybe,No,0,Sometimes,Sometimes,31,male ,Germany,,Germany,
0,More than 1000,1,,Yes,No,Yes,No,Yes,Somewhat easy,Maybe,No,Yes,Yes,Yes,No,,,,,,,,,0,,,,,,,,,,,,No,It's never come up.,No,More Taboo.,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,No,No,No,No,1,Sometimes,Sometimes,32,male,United States of America,California,United States of America,California
0,More than 1000,1,,No,No,Yes,No,I don't know,Very easy,Maybe,No,No,Maybe,Yes,No,,,,,,,,,1,"No, none did",I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,,No,,"Yes, I think it would","Yes, they do",Somewhat open,No,,No,Yes,Yes,Yes,1,Rarely,Often,33,Male,Australia,,Australia,
1,,,,,,,,,,,,,,,,1,"Yes, I know several","Yes, always",No,"Yes, always",No,Yes,51-75%,1,Some did,"Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",I don't know,Some of them,Maybe,Worried they wouldn't hire me due to potential cost and work time lost.,No,Don't believe they are equipped to understand. ,Maybe,Maybe,Very open,Maybe/Not sure,Maybe,Yes,Yes,Yes,Yes,1,Often,Often,56,M,United States of America,California,United States of America,California
0,More than 1000,1,,Yes,I am not sure,No,I don't know,No,Somewhat difficult,Yes,Yes,Maybe,No,No,No,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,Sometimes,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,No,I wouldn't expect them to hire me if I did.,No,I wouldn't expect them to hire me and I would expect them to make it known why they didn't hire me.,"Yes, it has","Yes, they do",Somewhat open,"Yes, I experienced",Maybe,Yes,Yes,Maybe,No,1,Sometimes,Often,43,Male,United States of America,California,United States of America,California
0,More than 1000,1,,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,,Maybe,,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,49,Male,Australia,,Australia,
0,26-100,1,,No,N/A,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Yes,Yes,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,"Yes, they all did",None of them,Yes,Knowledge about this will make it easier to know if the job is right for me and if I'll be able to handle it.,Yes,same as above,"Yes, I think it would",Maybe,Neutral,"Yes, I observed",No,No,Maybe,No,No,1,Sometimes,Sometimes,35,male,Bulgaria,,Bulgaria,
0,More than 1000,1,,Yes,Yes,No,Yes,Yes,Very difficult,Yes,Yes,Yes,No,No,No,,,,,,,,,1,Some did,I was aware of some,None did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Not an issue.,No,Stigma of mental illness.,"Yes, I think it would","No, I don't think they would",Very open,No,,No,Yes,No,Yes,1,Sometimes,Often,53,Male,Canada,,Canada,
0,100-500,1,,I don't know,I am not sure,I don't know,I don't know,No,I don't know,No,No,No,Maybe,Yes,No,,,,,,,,,1,Some did,I was aware of some,I don't know,Some did,No,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,"Unless it's a physical handicap, I don't want the problem to affect their judgement.",No,An interview is no place to discuss these kind of problems.  An interview is to sell yourself based on your merits.,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,45,m,United States of America,Maryland,United States of America,Maryland
0,100-500,1,,Yes,No,No,Yes,I don't know,Very difficult,Yes,Maybe,No,No,No,No,,,,,,,,,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,"Potentially viewed as disqualifying, even if it's not",No,Viewed as disqualifying,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,I don't know,No,Maybe,No,1,Never,Sometimes,40,Male,United States of America,Massachusetts,United States of America,Massachusetts
0,More than 1000,0,1,Not eligible for coverage / N/A,I am not sure,Yes,Yes,Yes,I don't know,Yes,Maybe,No,Maybe,I don't know,No,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,"Yes, all of them",No,Fear of not getting the job ,No,Fear of not getting the job ,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,No,No,1,Sometimes,Often,52,Male,United States of America,New Hampshire,United States of America,New Hampshire
1,,,,,,,,,,,,,,,,1,I know some,"No, because it doesn't matter",I'm not sure,"Sometimes, if it comes up",I'm not sure,Yes,1-25%,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,None of them,Some of them,Some of my previous employers,I don't know,Some did,None of them,Yes,,Maybe,probably depends on atmosphere and attitude of interviewer,"No, I don't think it would","No, I don't think they would",Somewhat open,No,,I don't know,Yes,Maybe,Yes,1,Sometimes,Often,30,Male,France,,United Kingdom,
0,More than 1000,1,,Yes,Yes,No,No,Yes,I don't know,Maybe,No,Maybe,Maybe,No,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,If it didn't affect my work performance it would be none of their concern,No,It would affect my chance of getting the job,Maybe,"No, I don't think they would",Neutral,No,,No,Yes,No,Yes,0,Never,Sometimes,41,Male,New Zealand,,New Zealand,
1,,,,,,,,,,,,,,,,1,I know some,"Sometimes, if it comes up",I'm not sure,"Sometimes, if it comes up",I'm not sure,Yes,1-25%,1,"No, none did",N/A (not currently aware),None did,None did,"Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Well a physical issue is harder to hide than a mental condition,Maybe,If I do is depending on my trust in the person,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,I don't know,Yes,Maybe,Yes,1,Sometimes,Not applicable to me,31,male,Netherlands,,Netherlands,
0,100-500,1,,Not eligible for coverage / N/A,N/A,Yes,I don't know,I don't know,Somewhat easy,No,No,Maybe,Maybe,Yes,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,I would feel dishonest if I didn't share known physical issue,Maybe,Mental issue are still considered a bit of a taboo and I have trouble expressing how I feel. It will greatly depend on how I feel on the moment with the interviewer,Maybe,Maybe,Somewhat open,Maybe/Not sure,N/A,I don't know,No,Maybe,No,1,Not applicable to me,Not applicable to me,31,Male,Switzerland,,Switzerland,
1,,,,,,,,,,,,,,,,0,I know some,"No, because it would impact me negatively",I'm not sure,"No, because it would impact me negatively",No,Yes,26-50%,0,,,,,,,,,,,,Maybe,"bringing it up would be a bad option, places me in a position where I'm less likely to get the job.",No,"It's... just not done. You're advised against it in college: you're told ""don't bring up anything that might be negative in an interview.""","Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Maybe,Maybe,No,1,Sometimes,Often,24,human,United States of America,New Mexico,United States of America,New Mexico
0,100-500,1,,No,N/A,No,No,I don't know,Somewhat easy,Maybe,No,No,Maybe,No,Yes,,,,,,,,,1,"No, none did",I was aware of some,None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,Maybe,"Interviews are a process of elimination. I don't want to give the employer a reason to eliminate me.
If the physical issue were something with clear protections under the law (eg vision impairment, mobility issues), then I would disclose.",No,"Because I think that it would put me as a candidate into the ""too hard basket"". It is much to easy to justify not employing someone on other criteria when the mental illness was actually a significant factor thereby avoiding accusations of discrimination.","Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,44,Male,Australia,,Australia,
0,More than 1000,1,,Yes,No,No,I don't know,I don't know,Very difficult,Maybe,No,Maybe,Maybe,I don't know,No,,,,,,,,,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,It may not be relevant to the job.,No,"Too easy for that to immediately disqualify me in their eyes, without me having any proof of this or recourse.","Yes, it has","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,37,m,United States of America,Wisconsin,United States of America,Wisconsin
0,06岿 25老,0,1,No,N/A,No,No,I don't know,Somewhat difficult,Maybe,Yes,No,No,No,No,,,,,,,,,1,"No, none did",N/A (not currently aware),Some did,None did,No,None of them,"Yes, all of them",Some of my previous employers,"No, at none of my previous employers",Some did,None of them,Yes,,Maybe,,"Yes, I think it would","No, I don't think they would",Somewhat not open,No,,Yes,No,Yes,Yes,0,Rarely,Often,22,Male,Brazil,,Brazil,
0,26-100,1,,Yes,Yes,Yes,I don't know,I don't know,Somewhat easy,Maybe,No,No,Maybe,Yes,No,,,,,,,,,1,"Yes, they all did",I was aware of some,None did,None did,Sometimes,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,It might make me look like a liability ,No,It might make me look like a liability ,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,31,Female,United States of America,Tennessee,United States of America,Tennessee
0,26-100,1,,No,N/A,No,No,I don't know,I don't know,Yes,Maybe,No,No,No,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,I don't know,I don't know,None of them,No,"If it does not interfere with work, it is none of their business.",No,,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",No,I don't know,No,Maybe,No,0,Not applicable to me,Never,36,female,Bulgaria,,Bulgaria,
1,,,,,,,,,,,,,,,,0,"Yes, I know several","No, because it doesn't matter",Yes,"No, because it doesn't matter",Yes,Yes,76-100%,1,"No, none did","Yes, I was aware of all of them",None did,None did,"Yes, always",I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,I never had a physical health issue.,No,People who never struggled with mental health issues are incapable of understanding.,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Often,Often,28,Male,Romania,,Romania,
0,500-1000,0,1,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,No,Maybe,No,No,,,,,,,,,1,I don't know,I was aware of some,"Yes, they all did","Yes, they all did","Yes, always",Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",Some did,None of them,Maybe,"It depends on what kind of physical health issue it was, and what the job was. As an example, I do not feel as if Carpal Tunnel would be necessary to bring up if I was not going to be doing repetitive tasks all day. I would probably mention it upon offer, and allow an opportunity for reconsideration.

I would also not mention it if I wasn't interested in the position.",Maybe,It's important to let people know if aspects of the job are going to be more difficult.,"No, I don't think it would","No, I don't think they would",Very open,No,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,25,female,United States of America,Iowa,United States of America,Iowa
1,,,,,,,,,,,,,,,,1,"No, I don't know any",Not applicable to me,N/A,Not applicable to me,Not applicable to me,Yes,1-25%,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,The job market is too competitive.,No,The job market is too competitive.,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,N/A,I don't know,Maybe,Maybe,No,1,Sometimes,Often,49,male,United States of America,Kentucky,United States of America,Kentucky
0,01岿 05老,1,,Not eligible for coverage / N/A,N/A,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,,,,,,,,,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,depends on whether the health issue would actually affect my job or impede performance,No,"I feel stable on medication right now. I'd only bring it up after accepting the job, if high anxiety occurs","No, I don't think it would","No, they do not",Very open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,22,woman,United States of America,New Jersey,United States of America,New Jersey
1,,,,,,,,,,,,,,,,1,I know some,"No, because it doesn't matter",No,"Sometimes, if it comes up",No,Yes,1-25%,1,Some did,"Yes, I was aware of all of them",None did,None did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,Some did,None of them,Yes,I wouldn't want to work someplace where it would be an issue.,Maybe,"I'd have to feel really comfortable with the potential employer (close colleague or friend), and would probably not speak to my depression directly. I would bring up the concept of ""mental health days"" and be my own advocate, however.",Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,Yes,Yes,Yes,1,Rarely,Often,43,male,United States of America,Massachusetts,United States of America,Massachusetts
1,,,,,,,,,,,,,,,,0,"Yes, I know several","Sometimes, if it comes up",I'm not sure,"No, because it doesn't matter",Not applicable to me,Yes,26-50%,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,"If the job required physical work, I would worry that bringing up a physical health issue might have negative consequences.",No,I would worry that bringing up a mental health issue would have negative consequences.,"Yes, it has","Yes, I think they would",Neutral,Maybe/Not sure,Yes,Yes,Maybe,Maybe,Yes,1,Sometimes,Sometimes,33,m,United States of America,Indiana,United States of America,Indiana
0,500-1000,1,,Yes,Yes,No,Yes,I don't know,Very difficult,Yes,Maybe,No,No,No,No,,,,,,,,,1,"Yes, they all did",I was aware of some,None did,Some did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,No,I wouldn't want it to affect my chances of getting the job.,No,"I wouldn't want it to affect my chances of getting the job. I'm already a woman and a person of color; why would I bring up something else that makes me different when ""cultural fit"" is such a big deal in this field?","Yes, I think it would","Yes, I think they would",Somewhat open,No,,I don't know,Yes,Maybe,Yes,1,Sometimes,Sometimes,36,"Female (props for making this a freeform field, though)",United States of America,Kentucky,United States of America,Kentucky
